Abendrothschule<br>Grundschule,Abendroth-GS@cuxhaven.de
Grundschule Glandorf<br>,info@grundschule-glandorf.de
Grundschule Glane<br>,grundschule-glane@osnanet.de
Grundschule Glarum<br>,vgs-glarum@ewetel.net
Grundschule Glücksburger Weg<br>VGS,GSGluecksburgerweg@Hannover-Stadt.de
Grundschule Gleidingen<br>,gs-gleidingen@laatzen.de
Grundschule Gliesmarode<br>,gs.gliesmarode@braunschweig.de
Grundschule Goetheplatz<br>,kontakt@grundschule-goetheplatz.de
Grundschule Goetheschule<br>,gsgoetheschule@t-online.de
Grundschule Golzwarden<br>Theodor-Dirks-Schule,gs-golzwarden@ewe.net
Grundschule Grabstede<br>,gs.grabstede@ewetel.net
Grundschule Grafeld<br>,gs.grafeld@t-online.de
Grundschule Grasberg<br>,gs.grasberg@ewetel.net
Grundschule Grasdorf<br>,gs-grasdorf@laatzen.de
Grundschule Grasleben<br>,gs-grasleben@t-online.de
Grundschule Grimsehlweg<br>,GS-Grimsehlweg@Hannover-Stadt.de
Grundschule Grünenplan<br>,info@gs-gruenenplan.de
Grundschule Grüner Weg<br>,gs-gruenenweg@t-online.de
Grundschule Großburgwedel<br>,kontakt@gs-grossburgwedel.de
Grundschule Groß Elbe<br>,info@grundschule-grosselbe.de
Grundschule Großenheidorn<br>,Sekretariat@gs-grossenheidorn.de
Grundschule Großenkneten<br>,mail@gs-grossenkneten.de
Grundschule Groß Hehlen<br>,@nibis.ni.schule.de
Grundschule Groß Lengden<br>,gsgrosslengden@gmx.de
Grundschule Groß Lessen<br>,grundschule_gross_lessen@t-online.de
Grundschule Groß Munzel<br>,gs.gross-munzel@t-online.de
Grundschule Groß Stöckheim<br>,gs-gross-stoeckheim@versus-wf.de
Grundschule Guderhandviertel<br>,grundschule-guderhandviertel@t-online.de
Grundschule Gusborn<br>,gsgusborn@web.de
Grundschule Habbrügge<br>,vgshabbruegge@gmx.de
Grundschule Haßbergen<br> Verlässliche Grundschule,gshassbergen@gmx.de
Grundschule Haddorf<br>,grundschule-haddorf@t-online.de
Grundschule Hage<br>,gs.hage@t-online.de
Grundschule Hagen<br>f. Schüler kath. Bek,verwaltung.gshagen@gshagen-vechta.net
Grundschule Hagen<br>,grundschule-hagen@t-online.de
Grundschule Hagen<br>,GS-Hagen@t-online.de
Grundschule Hahle<br>Hahle,sekretariat@gs-hahle.net
Grundschule Hahndorf/Jerstedt<br>,gshahndorf@goslar.de
Grundschule Hahn-Lehmden<br>,schulleitung@gshahnlehmden.de
Grundschule Halchter<br>,gs-halchter@versus-wf.de
Grundschule Halen<br>f. Schüler kath. Bek,Grundschule-Halen@t-online.de
Grundschule Halle<br>,Grundschule-Halle@t-online.de
Grundschule Hallendorf<br>,grundschule-hallendorf@t-online.de
Grundschule Hallermund<br>,gs.hallermund@gmx.de
Grundschule Hameln-Rohrsen<br>,gs5@hameln.de
Grundschule Hammah<br>,sekretariat@gshammah.de
Grundschule Handeloh<br>,buero@gs-handeloh.de
Grundschule Handorf<br>,gshandorf@schule.samtgemeinde-bardowick.de
Grundschule Handrup<br>,schulleitung@gs-handrup.de
Grundschule Hanstedt<br>,kontakt@gs-hanstedt.de
Grundschule Harburger Straße<br>,gs.harburgerstr@ewetel.net
Grundschule Hardegsen<br>,verwaltung@grundschule-hardegsen.de
Grundschule Harenberg<br>,grundschule.harenberg@htp-tel.de
Grundschule Harlingerode<br>,schulleitung@grundschule-harlingerode.de
Grundschule Harlingerstraße<br>f. Schüler kath. Bek,kath.gs.harl@t-online.de
Grundschule Harlinger Weg<br>,gs-harlinger-weg@ewetel.net
Grundschule Harpstedt<br>,grundschule@harpstedt.de
Grundschule Harrien<br>,gs.harrien@ewe.net
Grundschule Harsum<br>,info@gs-harsum.de
Grundschule Harztorwall<br>f. Schüler kath. Bek,gs-harztorwall@versus-wf.de
Grundschule Hasenburger Berg<br>,info@gs-hasenburger-berg.lueneburg.de
Grundschule Hasenwinkel<br>,Grundschule.Hasenwinkel@t-online.de
Grundschule Haste<br>,grundschule-haste@osnanet.de
Grundschule Haste<br>,grundschule-haste@t-online.de
Grundschule Havelse<br>,schulleitung@gs-havelse.de
Grundschule Häcklingen<br>,Grundschule.Haecklingen@t-online.de
Grundschule Hechthausen<br>,schulleitung@grundschule-hechthausen.de
Grundschule Hedemünden<br>,Grundschule-Hedemuenden@t-online.de
Grundschule Hedendorf<br>,schulleitung@gs-hedendorf.de
Grundschule Heede<br>,gs-heede@gmx.de
Grundschule Heeßen<br>,GS.Heessen@t-online.de
Grundschule Heemsen<br>,verwaltung@schulzentrum-heemsen.de
Grundschule Heeseberg<br>,gs.heeseberg@t-online.de
Grundschule Heese-Süd<br>,sekretariat@ghs-heese-sued-celle.de
Grundschule Hehlen<br>,Grundschule-Hehlen@t-online.de
Grundschule Heidberg mit Förderklassen<br>Schwerpunkt Sprache,gs.heidberg@braunschweig.de
Grundschule Heidenau<br>,gs-heidenau@gmx.de
Grundschule Heidgarten<br>,Heidgartenschule@wolfsburg.de
Grundschule Heidmühle<br>,vgs.heidmuehle@ewetel.net
Grundschule Heiligenloh<br>,gs.heiligenloh@twistringen.de
Grundschule Heiligenrode<br>,sekretariat@gs-stuhr-heiligenrode.de
Grundschule Heilshorn<br>,grundschuleheilshorn@osterholz-scharmbeck.de
Grundschule Heinrichstraße<br>,GS.Heinrichstrasse@braunschweig.de
Grundschule Hellern<br>,mail@gs-hellern.de
Grundschule Hemeln<br>,gs-hemeln@t-online.de
Grundschule Hemeringen<br>,verwaltung@gs-hemeringen.de
Grundschule Hemmelte<br>f. Schüler kath. Bek,gshemmelte@t-online.de
Grundschule Hemmingen-Westerfeld<br>,sekretariat@gshemmingen-westerfeld.de
Grundschule Hemsen<br>,grundschule.hemsen@ewetel.net
Grundschule Hemslingen<br>,grundschule@hemslingen.de
Grundschule Hengelage<br>,info@gs-hengelage.de
Grundschule Herberhausen<br>,GSHerberhausen@goettingen.de
Grundschule Hermannshagen<br>,Grundschule_Hermannshagen@t-online.de
Grundschule Herringhausen<br>,Grundschule.Herringhausen@osnanet.de
Grundschule Hesel<br>,Leitung@grundschule-hesel.de
Grundschule Hesepe<br>,gshesepe@t-online.de
Grundschule Hägewiesen<br>,info@grundschule-haegewiesen.de
Grundschule Hiddestorf<br>,info@grundschule-hiddestorf.de
Grundschule Hilkenbrook<br>,gs.hilkenbrook@t-online.de
Grundschule Himbergen<br>,schulleitung@grundschule-himbergen.de
Grundschule Himmelpforten<br>,sekretariat@gs-himmelpforten.de
Grundschule Himmelsthür<br>,gs-himmelsthuer@schulen-hildesheim.de
Grundschule Hindenburgstraße<br>,gs.hindenburgstr@diepholz.eu
Grundschule Hinte<br>,GS-Hinte@t-online.de
Grundschule Hinter der Burg<br>,vgs-hinter-der-burg@web.de
Grundschule Hinter der Masch<br>f. Schüler kath. Bek,gs-hinter-der-masch@t-online.de
Grundschule Hittfeld<br>,schulleitung@gs-hittfeld.de
Grundschule Hitzacker<br>,schulleitung@grundschule-hitzacker.de
Grundschule Höltinghausen<br>f. Schüler kath. Bek,grundschule.hoeltinghausen@ewetel.net
Grundschule Hämelerwald-Sievershausen<br>,Grundschule-Haemelerwald@Lehrte.de
Grundschule Höner Mark<br>f. Schüler kath. Bek,buero@gshoenermark.de
Grundschule Hodenhagen<br>,schulleitung@grundschule-hodenhagen.de
Grundschule Hohefeld<br>,gs.hohefeld@friesoythe.de
Grundschule Hohegeiß<br>,info@grundschule-hohegeiss.de
Grundschule Hohenassel<br>,info@grundschule-hohenassel.de
Grundschule Hoheneggelsen<br>,gshoheneggelsen@htp-tel.de
Grundschule Hohenfelde<br>,grundschulehohenfelde@t-online.de
Grundschule Hohenhameln/Clauen<br>,info@gs-hohenhameln-clauen.de
Grundschule Hohenkirchen<br>,vgs-hohenkirchen@wangerland.org
Grundschule Hohes Feld<br>,gs2@hameln.de
Grundschule Hohestieg<br>,gs.hohestieg@braunschweig.de
Grundschule Hohnsen<br>,gs-hohnsen@schulen-hildesheim.de
Grundschule Hohnstorf<br>,info@grundschule-hohnstorf.de
Grundschule Holdenstedt<br>,grundschule-holdenstedt@t-online.de
Grundschule Holdorf<br>,grundschule.holdorf@ewetel.net
Grundschule Holle<br>,grundschule@holle.de
Grundschule Hollen<br>,info@grundschule-hollen.de
Grundschule Holsten-Bexten<br>,grundschule-holsten@t-online.de
Grundschule Holtermoor<br>,gs-holtermoor@ostrhauderfehn.de
Grundschule Holthausen<br>,sekretariat@gs-holthausen.de
Grundschule Holthusen<br>,info@gs-holthusen.de
Grundschule Holtland<br>,leitung@grundschule-holtland.de
Grundschule Holtrop<br>,info@grundschule-holtrop.de
Grundschule Holzhausen<br>, gs_holzhausen@t-online.de
Grundschule Hondelage<br>,gs.hondelage@braunschweig.de
Grundschule Hoogstede<br>,gs.hoogstede@ewetel.net
Grundschule Horneburg<br>,grundschule.horneburg@gmx.de
Grundschule Horst<br>,GS-Horst@t-online.de
Grundschule Horst<br>,info@grundschule-horst.de
Grundschule Hoya<br>,verwaltung@gs-hoya.de
Grundschule Hörden<br>,GS-Hoerden@t-online.de
Grundschule Hüttenbusch<br>,grundschule.huettenbusch@gemeinde-worpswede.de
Grundschule Hude-Süd<br>,gs-hude-sued@t-online.de
Grundschule Hundsmühlen<br>,info@gshundsmuehlen.de
Grundschule Huntlosen<br>,vwa@gs-huntlosen.de
Grundschule Husum<br>,schulleitung@gs-husum.de
Grundschule Icker<br>,Grundschule-Icker@t-online.de
Grundschule Ihlpohl<br>,sekretariat.ihlpohl@ritterhude.de
Grundschule Ihren<br>,info@grundschule-ihren.de
Grundschule Ilmenaustraße<br>,schulleitung@gs-ilmenau.de
Grundschule im bunten Dreieck Westerbeck<br>Grundschule,sekretariat@gs-imbuntendreieck.de
Grundschule im Drammetal<br>,grundschuledramfeld@t-online.de
Grundschule im Forstbachtal<br>,grundschule-negenborn@web.de
Grundschule im Gulfhof Loquard<br>,gulfschule-loquard@t-online.de
Grundschule im Hainhoop<br>,vgsarpke@t-online.de
Grundschule im Kleefelde<br>,GiK@Hannover-Stadt.de
Grundschule Im Langen Feld<br>,GS-Im-Langen-Feld@Laatzen.de
Grundschule Immenrode<br>,gsimmenrode@goslar.de
Grundschule Im Petzer Feld<br>,gs-impetzerfeld@bueckeburg.de
Grundschule im Roten Felde<br>Grundschule,info@schule-im-roten-felde.lueneburg.de
Grundschule im Örtzetal<br>Munster,info@grundschule-im-oertzetal.de
Grundschule im Sande<br>,GSImSande-Bramsche@t-online.de
Grundschule in der Südstadt<br>Offene Ganztagsschule,gs-in-der-suedstadt@stadt-peine.de
Grundschule in der Steinbreite<br>,gs-in-der-steinbreite@Hannover-Stadt.de
Grundschule In der Wüste<br>,kontakt@grundschule-wueste.de
Grundschule Ingeln-Oesselse<br>,gsingoe@laatzen.de
Grundschule in Hansahlen<br>,gsinhansahlen@schneverdingen.net
Grundschule Iprump-Stickgras<br>,info@iprump-stickgras.de
Grundschule Isenbüttel<br>,info@gs-isenbuettel.de
Grundschule Isern Hinnerk<br>,info@gs-isernhinnerk.de
Grundschule Itterbeck<br>,VGS-Itterbeck@t-online.de
Grundschule Itzum<br>,gs-itzum@schulen-hildesheim.de
Grundschule Jaderberg<br>,gs.jaderberg@t-online.de
Grundschule Jahnstraße<br>,info@gsjahnstrasse-seesen.de
Grundschule Jeddeloh<br>,grundschule.jeddeloh@ewetel.net
Grundschule Jeddingen<br>,sekretariat@gs-jeddingen.de
Grundschule Jembke<br>,gsjembke@t-online.de
Grundschule Jemgum<br>,gsjemgum@ewetel.net
Grundschule Jennelt<br>,gsjennelt@t-online.de
Grundschule Jesteburg<br>,mail@gsjesteburg.de
Grundschule Jägerstraße<br>Offene Ganztagsschule,gs-jaegerstrasse-sk@ewetel.net
Grundschule Jheringsfehn<br>,gs.jheringsfehn@ewetel.net
Grundschule Jürgenohl<br>,Schulleitung@gs-juergenohl.de
Grundschule Jungfernbusch<br>Verlässliche Grundschule,vhs-jubu@ewetel.net
Grundschule Kaltenweide<br>,info@gs-kaltenweide.de
Grundschule Kampe<br>,gs.kampe@friesoythe.de
Grundschule Karlshöfen<br>,info@gs-karlshoefen.gnbg.de
Grundschule Karlstraße<br>,gs-karlstr@holzminden.de
Grundschule Karlstrasse<br>,info@gs-karlchen.de
Grundschule Kastanienhof<br>,GS-Kastanienhof@Hannover-Stadt.de
Grundschule Kastanienhof<br>,kastanienhofschule@sarstedt.de
Grundschule Kastanienschule<br>,sekretariat@gs-visselhoevede.de
Grundschule (kath.) St. Augustinus<br>,grundschule.st.augustinus@ewetel.net
Grundschule Kestnerstraße<br>,gskestnerstrasse@hannover-stadt.de
Grundschule Kirchboitzen<br>,Sekretariat@gs-kirchboitzen.de
Grundschule Kirchbrak<br>,Grundschule-Kirchbrak@t-online.de
Grundschule Kirchdorf<br>,Grundschule-kirchdorf@schulnet.diepholz.de
Grundschule Kirchgellersen<br>,info@grundschule-kirchgellersen.de
Grundschule Kirchhammelwarden<br>,gs-hammelwarden@ewe.net
Grundschule Kirchhatten<br>,sekretariat@gs-kirchhatten.de
Grundschule Kirchhorst<br>,Grundschule-Kirchhorst@t-online.de
Grundschule Kirchwalsede<br>,grundschule@kirchwalsede.de
Grundschule Kirchweyhe<br>,gs-kirchweyhe@t-online.de
Grundschule Kissenbrück<br>,kontakt@grundschule-kissenbrueck.de
Grundschule Klecken<br>,grundschule-klecken@t-online.de
Grundschule Kleibrok<br>,gskleibrok@aol.com
Grundschule Kleinburgwedel<br>,gs-kleinburgwedel@gmx.de
Grundschule Klein Hehlen<br>,GS-KleinHehlen@t-online.de
Grundschule Klein Heidorn<br>,GS.KleinHeidorn@t-online.de
Grundschule Klenkendorfer Mühle<br>,info@gs-brillit.gnbg.de
Grundschule Klingenbergstraße<br>,kliberg@web.de
Grundschule Klint<br>,info@gs-klint.de
Grundschule Kluse<br>,info@grundschule-kluse.de
Grundschule Knesebeck<br>,gs-knesebeck@wittingen.de
Grundschule Königshof<br>,gs-koenigshof@gmx.de
Grundschule Königslutter<br>,gs-koenigslutter@t-online.de
Grundschule Kolenfeld<br>,sekretariat@grundschule-kolenfeld.de
Grundschule Kreideberg<br>,info@gs-kreideberg.lueneburg.de
Grundschule Kreiensen<br>,kontakt@gskreiensen.de
Grundschule Kreyenbrück<br>,GS.Kreyenbrueck@web.de
Grundschule Krähenwinkel<br>,schulleitung-gkr@htp-tel.de
Grundschule Kroge<br>f. Schüler kath. Bek,gs-kroge@t-online.de
Grundschule Kronsberg<br>,gskronsberg@hannover-stadt.de
Grundschule Krusenbusch<br>,gs-krusenbusch@ewe.net
Grundschule Kuhstedt<br>,info@gs-kuhstedt.gnbg.de
Grundschule Kunterbunt<br>,grundschule-kunterbunt@sg-hankensbuettel.de
Grundschule Laagberg<br>,Info@Laagbergschule.de
Grundschule Laar<br>,Grundschule-Laar@ewetel.net
Grundschule Lachendorf<br>IKARUS-Schule, Grundschule Lachendorf,info@gs-lachendorf.de
Grundschule Lage<br>,info@grundschule-lage.de
Grundschule Lahausen<br>,info@grundschule-lahausen.de
Grundschule Lahn<br>,grundschule-lahn@ewetel.net
Grundschule Lamme<br>,gs.lamme@braunschweig.de
Grundschule Lammetal<br>,GSbad-salzdetfurth@t-online.de
Grundschule Lamspringe<br>,Sekretariat@grundschule-lamspringe.de
Grundschule Langelsheim/Astfeld<br>,gslangelsheim@t-online.de
Grundschule Langendamm<br>,gs-langendamm-nienburg@t-online.de
Grundschule Langendamm<br>,GS-Langendamm@t-online.de
Grundschule Langenhagen<br>,gs-langenhagen@gmx.de
Grundschule Lange Straße<br>,grundschule-lange-strasse@ewetel.net
Grundschule Langförden<br>f. Schüler kath. Bek.,rektorin.schule@gs-langfoerden-vechta.net
Grundschule Langholt<br>mit Förderklassen Sprache,GS_Langholt@t-online.de
Grundschule Langlingen<br>,grundschule-langlingen@t-online.de
Grundschule Langwedel<br>,info@gs-langwedel.de
Grundschule Larrelt<br>,gslarrelt@ewetel.net
Grundschule Lasfelde<br>,mail@gs-lasfelde.de
Grundschule Lauenförde<br>,gs-lauenfoerde@web.de
Grundschule Lauenhagen<br>,Grundschule-Lauenhagen@t-online.de
Grundschule Lüchow<br>,info@grundschule-luechow.de
Grundschule Lechtingen<br>,GS.Lechtingen.lehrer@t-online.de
Grundschule Leerhafe/Ardorf<br>Verlässliche Grundschule,gs-leerhafe@ewe.net
Grundschule Leese<br>,info@gs-leese.de
Grundschule Lehe<br>,grundschule.lehe@ewetel.net
Grundschule Lehndorf<br>,verwaltung@gs-lehndorf.de
Grundschule Lehre<br>,Gs.Lehre@gemeinde-lehre.de
Grundschule Lehrte<br>,grundschule-an-der-masch@lehrte.de
Grundschule Lehrte<br>,Grundschule_Lehrte@t-online.de
Grundschule Lehrte-Süd<br>,grundschule-sued@lehrte.de
Grundschule Leiferde<br>,sekretariat@gs-leiferde.de
Grundschule Lemförde<br>,schulleitung@grundschule-lemfoerde.de
Grundschule Lemgow<br>,grundschule-lemgow@wendlandschulen.de
Grundschule Lemwerder<br>,info@gs-lemwerder.de
Grundschule Lengede<br>,post@grundschule-lengede.de
Grundschule Lengenerland<br>, gslengenerland@gmx.de
Grundschule Lengerich<br>,GS.Lengerich@t-online.de
Grundschule Lenglern<br>,Grundschule-Lenglern@t-online.de
Grundschule Lessingstraße<br>,gs-lessingstrasse@stadt-helmstedt.de
Grundschule Leuchtenburg<br>,sekretariat@grundschule-leuchtenburg.de&#65279;
Grundschule Lähden<br>,grundschule.laehden@ewetel.net
Grundschule Lähden-Holte<br>,schule@gsholte.de
Grundschule Lühnde<br>,gsluehnde@t-online.de
Grundschule Lichtenberg<br>,schulleitung@gs-lichtenberg.de
Grundschule Lienen<br>,gs-lienen@t-online.de
Grundschule Lindenberg<br>,schulleitung@gs-lbs.de
Grundschule Lindwedel<br>,info@grundschule-lindwedel.de
Grundschule Lintorf<br>,info@grundschule-lintorf.de
Grundschule Lüne<br>Verlässliche Grundschule,info@gs-luene.lueneburg.de
Grundschule Lüneburger Damm<br>,GS-Lueneburger-Damm@Hannover-Stadt.de
Grundschule Lünzen<br>,gsluenzen@schneverdingen.de
Grundschule Loccumer Straße<br>,GSLoccumerstrasse@Hannover-Stadt.de
Grundschule Logabirum<br> Verlässliche Grundschule,vgs-logabirum@t-online.de
Grundschule Lohne<br>,gs-lohne@ewe.net
Grundschule Loppersum<br>,grundschule.loppersum@t-online.de
Grundschule Loy<br>,gs.loy@ewetel.net
Grundschule Lunestedt<br>,grundschule-lunestedt@beverstedt.de
Grundschule Luthe<br>,schule@gs-luthe.de
Grundschule Luttum<br>,gs-luttum-sekretariat@kirchlinteln.de
Grundschule Löwenburg<br>,schule@loewenburg-ilsede.de
Grundschule Löwenherz<br>,vgs-wedtlenstedt@t-online.de
Grundschule Mandelsloh/Helstorf<br>,schule@gsmh-neustadt.de
Grundschule Marienschule<br>,gs-marienschule@schulen-noh.de
Grundschule Mariensee<br>,Schulleitung@gs-mariensee.de
Grundschule Marienwerder<br>,GSMarienwerder@Hannover-Stadt.de
Grundschule Marklohe<br>,info@gs-marklohe.de
Grundschule Martfeld<br>,info@grundschule-schwarme-martfeld.de
Grundschule Maschen<br>,schulleitung@gs-maschen.de
Grundschule Mascheroder Holz<br>,gs.mascheroder-holz@braunschweig.de
Grundschule Müden<br>,verwaltung@grundschule-mueden.de
Grundschule Meckelfeld<br>,info@gsmeckelfeld.de
Grundschule Meckelsen<br>,gsmeckelsen@t-online.de
Grundschule Meinsen<br>,gs-meinsen@bueckeburg.de
Grundschule Melbeck<br>,gs.melbeck@gmx.de
Grundschule Mellendorf<br>,gs_mellendorf@t-online.de
Grundschule Melverode<br>,schulleitung@gs-melverode.de
Grundschule Mengendamm<br>,GSMengendamm@Hannover-Stadt.de
Grundschule Menslage<br>,Grundschule-Menslage@t-online.de
Grundschule Merzen<br>,info@gs-merzen.de
Grundschule Messingen<br>,grundschule@messingen.de
Grundschule Metjendorf<br>,schule@gs-metjendorf.de
Grundschule Meyenburg<br>,gs-meyenburg@t-online.de
Grundschule Mühlenberg<br>,GS-Muehlenberg@Hannover-Stadt.de
Grundschule Mühlenschule<br>,muehlenschule.pbg@t-online.de
Grundschule Mühlenweg<br>,GSMuehlenweg@Hannover-Stadt.de
Grundschule Mühlenweg<br>,gs-muehlenweg@wilhelmshaven.de
Grundschule Middels<br>,info@gs-middels.de
Grundschule Midlum<br>,gs-midlum@ewetel.net
Grundschule Mingerode<br>,GS-Mingerode@t-online.de
Grundschule Mittegroßefehn<br>,info@grundschule-mittegrossefehn.de
Grundschule Mittelstraße<br>,GS1-Bassum@t-online.de
Grundschule Münchehagen<br>,sekretariat@gsm.rehburg-loccum.de
Grundschule Münchehof<br>,GSMuenchehof@t-online.de
Grundschule Moehlenwarf<br>,schulleitung@gs-moehlenwarf.de
Grundschule Moisburg<br>,sekretariat@grundschule-moisburg.de
Grundschule Molbergen<br>,grundschule@molbergen.de
Grundschule Moordeich<br>,GS-Moordeich@t-online.de
Grundschule Moordorf<br>,gs.moordorf@ewetel.net
Grundschule Moorhusen<br>,gs.moorhusen@suedbrookmerland.de
Grundschule Moorriem<br>,gs-mo@t-online.de
Grundschule Moritzberg<br>Die gelbe Schule,gs-moritzberg@schulen-hildesheim.de
Grundschule Morsum<br>,info@grundschule-morsum.de
Grundschule Mulsum-Kutenholz<br>,info@gsmulsum-kutenholz.de
Grundschule Nadelberg<br>,gs-nadelberg@t-online
Grundschule Nadorst<br>,info@grundschule-nadorst.de
Grundschule Neerstedt<br>,grundschule.neerstedt@ewetel.net
Grundschule Neetze<br>,gs_neetze@t-online.de
Grundschule Nendorf<br>,gsnendorf@gmx.de
Grundschule Nesselröden<br>,gsnesselroedensl@web.de
Grundschule Nettlingen<br>,grundschulenettlingen@t-online.de
Grundschule Neubörger<br>,grundschule.neuboerger@ewetel.net
Grundschule Neu Darchau<br>,buero@grundschule-neu-darchau.de
Grundschule Neuenhaus<br>,gs-neuenhaus@ewetel.net
Grundschule Neuenkirchen<br>,GSneuenkirchen@gmx.de
Grundschule Neuenkirchen<br>,sekretariat@grundschuleneuenkirchen.de
Grundschule Neuenkirchen im Hülsen<br>,grundschule-neuenkirchen@osnanet.de
Grundschule Neuenwalde<br>,grundschule-neuenwalde@t-online.de
Grundschule Neuhaus an der Oste<br>,Grundschule_Neuhaus@t-online.de
Grundschule Neuhaus im Solling<br>,gs-neuhaus-is@t-online.de
Grundschule Neuhof<br>,gs-neuhof@schulen-hildesheim.de
Grundschule Neukamperfehn<br>,gs-neukamperfehn@t-online.de
Grundschule Neukloster<br>,gs.neukloster@t-online.de
Grundschule Neuscharrel<br>,gs.neuscharrel@friesoythe.de
Grundschule Neustadt<br>,ghs_neustadt@web.de
Grundschule Neustadt<br>,GS-Neustadt.Quakenbrueck@t-online.de
Grundschule Neuwarmbüchen<br>,grundschule.neuwarmbuechen@htp-tel.de
Grundschule Nienhagen<br>,grundschule-nienhagen@t-online.de
Grundschule Nienstädt<br>,info@gsnienstaedt.org
Grundschule Norddeich<br>,grundschule-norddeich@norder-schulen.de
Grundschule Nordenham-Süd<br>,gssued@gmx.de
Grundschule Norderney<br>,Grundschule@Norderney.de
Grundschule Nord Esens<br>,info@gs.esens.de
Grundschule Nordholz<br>,schule@grundschule-nordholz.de
Grundschule Nordloh<br>,info@gs-nordloh.apen.de
Grundschule Nord Rinteln<br>,GS-Nord-SL@rinteln.de
Grundschule Nortrup<br>,info@Grundschule-Nortrup.de
Grundschule Oberg<br>,gsoberg@t-online.de
Grundschule Obernfeld<br>,Grundschule-Obernfeld@t-online.de
Grundschule Ober-Niederlangen<br>,gs-on@lathen.de
Grundschule Obernkirchen<br>,gsobk@web.de
Grundschule Ochtersum<br>,gs-ochtersum@schulen-hildesheim.de
Grundschule Ofen<br>,grundschule-ofen@ewetel.net
Grundschule Ofenerdiek<br>,info@gs-ofenerdiek.de
Grundschule Offleben<br>,gs-offleben@stadt-helmstedt.de
Grundschule Ohmstede<br>Ganztagsschule,gs.ohmstede@gmx.de
Grundschule Oker<br>Grundschule und Förderschule, Schwerpunkt Sprache,gsoker@goslar.de
Grundschule Oldau<br>,vgs.oldau@t-online.de
Grundschule Oldendorf<br>,sekretariat@gs-oldendorf.de
Grundschule Oldersum<br>,gs.oldersum@ewetel.net
Grundschule Osten<br>,schulleitung@grundschule-osten.de
Grundschule Ostenfelde<br>,gs-ostenfelde@osnanet.de
Grundschule Osterberg<br>,schulleitung@gs-osterberg.de
Grundschule Ostercappeln/Schwagstorf<br>,gs-am-wiehengebirge@t-online.de
Grundschule Osterscheps<br>,ghs.osterscheps-sec@ewetel.net
Grundschule Osterstraße<br>,GS-Osterstr.Va.Schulleitung@t-online.de
Grundschule Osterwald<br>,info@grundschule-osterwald.de
Grundschule Osterwald<br>,mail@gs-garbsen-osterwald.de
Grundschule Ostrhauderfehn<br>,grundschule-ostrhauderfehn@ostrhauderfehn.de
Grundschule Othfresen<br>,gs.othfresen@t-online.de
Grundschule Ottbergen<br>,vgsottbergen@htp-tel.de
Grundschule Ottenbeck<br>,schulleitung@gsottenbeck.de
Grundschule Ottenstein<br>,grundschule-ottenstein@t-online.de
Grundschule Otter<br>,sekretariat@gs-otter.de
Grundschule Otterndorf<br>,sekretariat@grundschule-otterndorf.de
Grundschule Otternhagen<br>Verlässliche Grundschule,grundschule-otternhagen@t-online.de
Grundschule Otze<br>,grundschule_otze@htp-tel.de
Grundschule Overbergschule<br>,info@ovli.de
Grundschule Overledinger Geest<br>Collinghorst,grundschule.collinghorst@t-online.de
Grundschule Oyten<br>,verwaltung@gs-oyten.de
Grundschule Parsau<br>,gsparsau@t-online.de
Grundschule Pattensen<br>,grundschule@pattensen.de
Grundschule Pattensen<br>,info@grundschulepattensen.de
Grundschule Paul-Maar-Schule<br>,info@paulmaarschule.eu
Grundschule Pestalozzistraße<br>,gs-pestalozzistrasse@laatzen.de
Grundschule Pestalozzistraße<br>,gs-pestalozzistrasse@stadt-helmstedt.de
Grundschule Petermoor Bassum<br>,Verwaltung@GS-Petermoor.de
Grundschule Petersfehn<br>,grundschule.petersfehn@ewetel.net
Grundschule Petkum - Widdelswehr<br>,schulleitung@vgs-petkum.de
Grundschule Pewsum<br>,schulleitung@grundschule-pewsum.de
Grundschule Platjenwerbe<br>,sekretariat.platjenwerbe@ritterhude.de
Grundschule Plockhorst<br>,grundschule-plockhorst@t-online.de
Grundschule Poggenhagen<br>,gs.pogge@t-online.de
Grundschule Posthausen<br>,grundschule-posthausen@t-online.de
Grundschule Powe<br>,info@grundschule-powe.de
Grundschule Prisser<br>,GS-Prisser@t-online.de
Grundschule Pye<br>,gs-pye@schulmail-os.de
Grundschule Quendorf<br>,gs@grundschule-quendorf.de
Grundschule Querum<br>,post@gs-querum.de
Grundschule Radenbeck<br>,gs-radenbeck@wittingen.eu
Grundschule Rajen<br>,vgs-rajen@ewetel.net
Grundschule Ramelsloh<br>,info@gs-ramelsloh.de
Grundschule Ramsloh<br>f. Schüler kath. Bek,grundschule.ramsloh@ewetel.net
Grundschule Rastdorf<br>,Grundschule-Rastdorf@ewe.net
Grundschule Rautheim<br>,post@GS-Rautheim.de
Grundschule Röddenberg<br>,buero@gs-roeddenberg.de
Grundschule Rechterfeld<br>f. Schüler kath. Bek,grundschule.rechterfeld@t-online.de
Grundschule Reepsholt<br>,grundschule-reepsholt@friedeburg.de
Grundschule Rehburg<br>,Grundschule-Rehburg@t-online.de
Grundschule Rehden<br>,gs-rehden@schulnet.diepholz.de
Grundschule Remels<br>,kontakt@grundschule&#8209;remels.de
Grundschule Remlingen<br>,schuleremlingen@t-online.de
Grundschule Renkenberge/Wippingen<br>,grundschule.wippingen@ewetel.net
